Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7D0RhFcb3CrfPuTJ0obrod,"Sparks","Parachutes","Coldplay",2000-07-10,227093,89,false,adriankito200,2023-03-31T18:37:11Z,"","Parlophone UK",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
spotify:track:6QijIAKaV2ijQC4t1I76qF,"Tú","Sobrevive","Kudai",2006-01-01,241146,53,false,adriankito200,2023-03-31T22:31:08Z,"latin pop","EMI CHILE",0.582,0.784,2,-5.286,1,0.0323,0.0787,0,0.165,0.529,141.992,4
spotify:track:0upgxxew2mVAEctrz08jnf,"Love Foolosophy - Radio Edit","A Funk Odyssey","Jamiroquai",2001-08-29,224493,65,false,adriankito200,2023-03-31T22:45:11Z,"acid jazz","Epic",0.799,0.69,11,-4.998,0,0.0749,0.0119,0.0000287,0.133,0.896,129.297,4
spotify:track:77wvD68DO1na0pvLMcVASk,"Main Vein","A Funk Odyssey","Jamiroquai,James Donaldson",2001-08-29,303133,43,false,adriankito200,2023-03-31T22:51:50Z,"acid jazz","Epic",0.774,0.744,9,-6.914,0,0.081,0.00279,0.000603,0.122,0.771,127.591,4
spotify:track:7hhclvecTpNxNNRCk7NUoc,"Little L","A Funk Odyssey","Jamiroquai",2001-08-29,295400,70,false,adriankito200,2023-03-31T22:55:30Z,"acid jazz","Epic",0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,4
spotify:track:0JSinz03ZGQxKtCH3yBg6W,"Picture of My Life","A Funk Odyssey","Jamiroquai",2001-08-29,223626,52,false,adriankito200,2023-03-31T23:05:40Z,"acid jazz","Epic",0.674,0.435,2,-8.584,0,0.0293,0.557,0,0.173,0.49,120.332,4
spotify:track:4UALNtb6gBbaDHWazUenW3,"So Good to Feel Real","A Funk Odyssey","Jamiroquai",2001-08-29,124546,38,false,adriankito200,2023-03-31T23:19:53Z,"acid jazz","Epic",0.889,0.546,11,-8.618,0,0.0481,0.00191,0.00889,0.0581,0.939,125.087,4
spotify:track:1x6jPyUfLuTNQ3o5zykG2x,"You Give Me Something","A Funk Odyssey","Jamiroquai",2001-08-29,199600,66,false,adriankito200,2023-03-31T23:21:26Z,"acid jazz","Epic",0.639,0.69,7,-10.047,1,0.264,0.0265,0.000551,0.146,0.579,119.63,4
spotify:track:0oXLSuno5adlHcPzlzs8l6,"Duele El Amor","Mundo Lite","Aleks Syntek,Ana Torroja",2004-01-01,275373,74,false,adriankito200,2023-03-31T23:33:25Z,"latin pop,rock en español","Capitol Latin",0.674,0.774,6,-6.004,0,0.0349,0.325,0.00000152,0.323,0.702,129.951,4
spotify:track:07K4GcCDSTiXUF5ssyTRUM,"The Sweet Escape","The Sweet Escape","Gwen Stefani,Akon",2006-01-01,246466,76,false,adriankito200,2023-04-02T14:39:38Z,"","Interscope",0.756,0.769,1,-3.502,1,0.0344,0.191,0,0.178,0.73,119.961,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,89,false,adriankito200,2023-04-02T14:40:55Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:6P3TrUT5OBuyrBYGrHo525,"World Hold On","Noah's Arc Soundtrack","Bob Sinclair,Steve Edwards",2008-10-21,200400,9,false,adriankito200,2023-04-14T01:30:44Z,"","Silver Label, a division of Tommy Boy Entertainment, LLC.",0.734,0.941,8,-2.549,0,0.0965,0.0548,0.0000224,0.187,0.624,127.002,4
spotify:track:0BCPKOYdS2jbQ8iyB56Zns,"Clocks","A Rush of Blood to the Head","Coldplay",2002-08-27,307879,88,false,adriankito200,2023-04-14T01:31:04Z,"","Parlophone Records Limited",0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4
