Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2fQxE0jVrjNMT9oJAXtSJR,"Domino","Who You Are (Platinum Edition)","Jessie J",2011-01-01,231840,80,false,204029,2019-09-20T08:58:38Z,"","Lava Music/Republic Records",0.758,0.557,7,-4.568,1,0.034,0.0117,0,0.0418,0.781,126.986,4
spotify:track:1lkvpmrCaXK8QtliFDcHBO,"Bubbly","Coco","Colbie Caillat",2007-01-01,196226,75,false,204029,2019-09-20T09:00:00Z,"","Universal Records",0.688,0.477,9,-6.684,1,0.036,0.594,0,0.115,0.257,127.866,4
spotify:track:4fIWvT19w9PR0VVBuPYpWA,"Haven't Met You Yet","Crazy Love","Michael Bublé",2009-10-06,244586,73,false,204029,2019-09-20T09:01:41Z,"christmas","143/Reprise",0.615,0.733,8,-4.808,1,0.0335,0.152,0,0.109,0.796,122.58,4
spotify:track:3NkJNL3WqO1Lqc3uNDxvCN,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Don’t Call Me Angel (Charlie’s Angels)","Ariana Grande,Miley Cyrus,Lana Del Rey",2019-09-13,190106,1,false,204029,2019-09-20T10:15:47Z,"pop","Republic Records",0.643,0.721,1,-5.248,1,0.0449,0.00268,0.00000651,0.0898,0.317,102.914,4
spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - 2005 Remaster","Sweet Dreams (Are Made Of This)","Eurythmics,Annie Lennox,Dave Stewart",1983-01-04,216933,85,false,204029,2019-09-25T03:50:16Z,"new wave,synthpop","RCA Records Label",0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,4
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,"Wannabe","Spice","Spice Girls",1996-01-01,173026,83,false,204029,2019-09-25T03:51:10Z,"","Virgin Records",0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,4
spotify:track:0u2P5u6lvoDfwTYjAADbn4,"lovely (with Khalid)","lovely (with Khalid)","Billie Eilish,Khalid",2018-04-19,200185,90,false,204029,2019-09-27T00:40:15Z,"","Darkroom",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
spotify:track:2IZZqH4K02UIYg5EohpNHF,"Zombie","No Need To Argue","The Cranberries",1994-10-03,306426,9,false,204029,2019-09-30T10:03:00Z,"","Island Records",0.307,0.635,7,-8.957,1,0.0339,0.0154,0.00483,0.366,0.304,166.973,4
spotify:track:1nInOsHbtotAmEOQhtvnzP,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,78,false,204029,2019-09-30T10:04:21Z,"christmas","RCA Records Label",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
spotify:track:6v4F5IaKUITBPzt2wztoiZ,"Never Forget You","So Good","Zara Larsson,MNEK",2017-03-17,213427,58,false,204029,2019-10-04T22:24:13Z,"","Epic/Record Company TEN",0.583,0.732,11,-5.729,0,0.0459,0.00315,0.00000957,0.269,0.277,146.005,4
